NAMES,ALL,Ecoli_core_model,Escherichia coli str,GP_COMPOUND_NODE,GP_REACTION_NODE,path:hsa00010,path:hsa00020,path:hsa00030,path:hsa00040,path:hsa00051,path:hsa00053,path:hsa00500,path:hsa00520,path:hsa00620,path:hsa00630,path:hsa00640,RESULT_GP_MD_DATA,RESULT_GP_QSAR_DESCR,RESULT_GP_QSAR_FINGP,RESULT_GP_SMILES_PRO,Thiele2013 - Human m
3444-P__34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BAD_M_eico,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAD_M_arac,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4584-R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3985-P__39,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3309-R__36,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3481-R__53,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3339-P__33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
BAD_M_gd2_,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3309-R__35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3324-R,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAD_M_5eip,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAD_M_onpt,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3638,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1
3639,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3380-P__54,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3309-R__33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3630,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3313-P__33,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3634,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3635,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
BAD_M_C082,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3422-R,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3636,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
8673-P__BA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3650,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
3651,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
17396511-P,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3359-R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8376-R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAD_M_gd3_,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3542-R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAD_M_avit,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAD_M_hest,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAD_M_ak2g,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17396511-R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8707-P__87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3642,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3643,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3645,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
3646,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3647,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
BAD_M_2dp6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4992,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
5840,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3449-P__34,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6773-P__67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3508-P__36,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4507,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3508-P__35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3304-R__33,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BAD_M_2dod,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAD_M_2doc,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3652,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3653,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
BAD_M_C064,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3654,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3655,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3656,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3697-R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3657,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
5836,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3744-P__37,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3639-P__38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3659,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
BAD_M_gd1c,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3918-P__39,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3670,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
3337-R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAD_M_gd1b,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAD_M_gd1a,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4058-P__40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3609-R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
