"cpd_id","cpd_name"
"1319","10082"
"807","10082-P__1"
"1931","10082-R"
"1737","10474"
"956","10474-R__3"
"1328","10476"
"2153","10476-P__1"
"791","10476-P__3"
"633","10476-R__3"
"709","10514"
"2095","10514-R"
"708","10514-R__3"
"499","10564"
"498","10564-R__3"
"2162","11400"
"2009","11400-P__1"
"2051","11830"
"409","11830-P__1"
"1610","11832"
"1575","11832-P__3"
"556","11832-R__3"
"890","124489846"
"55","124489846-"
"1122","124490112"
"1121","124490112-"
"477","124490160"
"476","124490160-"
"1989","13088"
"1186","13088-P__3"
"1119","13476"
"173","13476-P__1"
"2214","13476-R"
"824","13479"
"135","13479-P__3"
"134","13507"
"133","13507-P__1"
"1797","13507-R"
"1707","13507-R__3"
"624","13536"
"623","13536-P__3"
"587","13552"
"1530","13552-P__1"
"317","13552-P__3"
"2167","13552-R"
"586","13552-R__3"
"1451","13552-R__4"
"1561","13552-R__5"
"849","13552-R__7"
"1524","13552-R__B"
"336","135626165"
"335","135626165-"
"2065","135626616"
"1142","13646"
"2027","13646-P__1"
"1141","13646-R"
"1864","13646-R__3"
"1761","13669"
"1857","13669-P__1"
"1760","13669-R"
"899","13669-R__3"
"1012","13694"
"1011","13694-P__1"
"327","13694-R__3"
"2101","13860"
"415","13860-R__3"
"2320","13985"
"1413","13985-R__3"
"1339","14069"
"819","14069-P__3"
"995","14069-R__3"
"2494","163311981"
"2492","163311981-"
"2267","163312126"
"2084","172232359"
"1135","172232359-"
"1283","17395731"
"382","17395731-P"
"1609","17395731-R"
"1751","17395766"
"817","17395766-P"
"1700","17395767"
"89","17395767-P"
"1104","17395768"
"1077","17395768-P"
"1855","17395769"
"384","17395769-P"
"1667","17395816"
"1666","17395816-P"
"72","17395816-R"
"1665","17395817"
"1888","17395817-P"
"1664","17395817-R"
"1163","17395823"
"1162","17395823-R"
"1417","17395826"
"850","17395826-R"
"1228","17395847"
"196","17395847-R"
"852","17395849"
"716","17395849-R"
"470","17396485"
"508","17396485-P"
"469","17396485-R"
"1302","17396511"
"1383","17396511-P"
"574","17396511-R"
"1206","17396549"
"344","17396549-P"
"1825","17396549-R"
"1366","17396552"
"794","17396552-P"
"1365","17396552-R"
"733","17396637"
"97","17396637-P"
"732","17396637-R"
"1680","17396640"
"1457","17396640-P"
"1069","17396640-R"
"1798","254741292"
"1063","254741292-"
"1466","254741293"
"1465","254741293-"
"2514","254741471"
"2502","254741471-"
"2508","254741472"
"2501","254741472-"
"44","3303"
"68","3303-P__33"
"148","3303-P__34"
"1133","3303-P__35"
"1915","3303-P__36"
"724","3303-P__37"
"1391","3303-P__38"
"1600","3303-P__40"
"551","3303-P__41"
"1602","3303-P__42"
"965","3303-P__43"
"1870","3303-P__47"
"1409","3303-P__60"
"1757","3303-P__61"
"655","3303-P__65"
"2059","3303-P__72"
"1239","3303-P__76"
"2132","3303-P__77"
"818","3303-P__82"
"212","3303-P__BA"
"1125","3303-R"
"1","3303-R__33"
"18","3303-R__34"
"443","3303-R__35"
"453","3303-R__36"
"2110","3303-R__37"
"539","3303-R__38"
"482","3303-R__40"
"805","3303-R__41"
"296","3303-R__43"
"1495","3303-R__47"
"1201","3303-R__49"
"1190","3303-R__54"
"1748","3303-R__59"
"1933","3303-R__60"
"1408","3303-R__61"
"1204","3303-R__62"
"657","3303-R__65"
"1726","3303-R__68"
"823","3303-R__74"
"1460","3303-R__76"
"2091","3303-R__78"
"564","3303-R__82"
"239","3303-R__85"
"1584","3303-R__96"
"184","3303-R__BA"
"91","3304"
"340","3304-P__33"
"1008","3304-R"
"27","3304-R__33"
"15","3305"
"206","3305-P__33"
"2006","3305-R"
"14","3305-R__33"
"102","3306"
"569","3306-P__33"
"31","3307"
"30","3307-P__33"
"29","3307-R__33"
