rct,nodea,nodeb,map_rel
2513,2513,51,14
2513,2513,1715,14
2511,2511,1715,14
2511,2511,387,14
2510,2510,60,14
2510,2510,2515,14
2509,2509,2504,14
2509,2509,2512,14
2507,2507,60,14
2507,2507,1756,14
2506,2506,1045,14
2506,2506,839,14
2505,2505,277,14
2505,2505,1051,14
2503,2503,2504,14
2503,2503,60,14
2502,2502,1051,14
2502,2502,2508,14
2502,2502,441,14
2502,2502,2514,14
2502,2502,2357,14
2501,2501,2337,14
2501,2501,60,14
2501,2501,2508,14
2500,2500,1045,14
2500,2500,1756,14
2499,2499,1168,14
2499,2499,60,14
2497,2497,2329,13
2497,2497,144,13
2496,2496,1786,13
2496,2496,2498,13
2495,2495,1243,13
2495,2495,1098,13
2492,2492,2493,13
2492,2492,2494,13
2491,2491,1886,13
2491,2491,1168,13
2491,2491,1886,14
2491,2491,1168,14
2490,2490,1168,13
2490,2490,60,13
2490,2490,1168,14
2490,2490,60,14
2489,2489,1723,13
2489,2489,1243,13
2487,2487,1786,13
2487,2487,1358,13
2486,2486,402,13
2486,2486,2488,13
2485,2485,1340,12
2485,2485,872,12
2484,2484,2030,12
2484,2484,51,12
2483,2483,1032,12
2483,2483,51,12
2483,2483,1032,13
2483,2483,51,13
2483,2483,1032,14
2483,2483,51,14
2482,2482,404,12
2482,2482,2030,12
2481,2481,505,12
2481,2481,1508,12
2480,2480,2326,12
2480,2480,404,12
2479,2479,505,12
2479,2479,1340,12
2477,2477,538,11
2477,2477,2476,11
2475,2475,554,11
2475,2475,543,11
2474,2474,1359,11
2474,2474,194,11
2473,2473,2090,11
2473,2473,2476,11
2472,2472,1472,11
2472,2472,538,11
2470,2470,538,11
2470,2470,1472,11
2469,2469,81,11
2469,2469,759,11
2468,2468,444,11
2468,2468,2471,11
2467,2467,554,11
2467,2467,759,11
2465,2465,2466,11
2465,2465,2478,11
2463,2463,1472,11
2463,2463,466,11
2461,2461,2462,11
2461,2461,1359,11
2460,2460,1001,11
2460,2460,1965,11
2459,2459,543,11
2459,2459,2464,11
2458,2458,81,11
2458,2458,1001,11
2457,2457,538,11
2457,2457,529,11
2456,2456,1221,11
2456,2456,302,11
2455,2455,554,11
2455,2455,759,11
2454,2454,554,11
2454,2454,1332,11
2452,2452,2453,11
2452,2452,759,11
2451,2451,2090,11
2451,2451,1472,11
2450,2450,81,11
2450,2450,1965,11
2449,2449,466,11
2449,2449,2453,11
2448,2448,543,11
2448,2448,554,11
2444,2444,2429,10
2444,2444,2436,10
2443,2443,577,10
2443,2443,2445,10
2442,2442,981,10
2442,2442,2446,10
2441,2441,580,10
2441,2441,2436,10
2440,2440,577,10
2440,2440,2245,10
2440,2440,981,10
2439,2439,580,10
2439,2439,2447,10
2438,2438,577,10
2438,2438,1911,10
2435,2435,2436,10
2435,2435,577,10
2433,2433,1301,10
2433,2433,2434,10
2433,2433,364,10
2431,2431,2432,10
2431,2431,577,10
2431,2431,2437,10
2430,2430,577,10
2430,2430,2427,10
2428,2428,2429,10
2428,2428,143,10
2426,2426,2427,10
2426,2426,2436,10
2426,2426,981,10
2425,2425,729,9
2425,2425,1456,9
2423,2423,804,9
2423,2423,471,9
2422,2422,471,9
2422,2422,437,9
2422,2422,437,11
2422,2422,512,11
2421,2421,1570,9
2421,2421,2424,9
2418,2418,1258,8
2418,2418,2419,8
2418,2418,2419,11
2418,2418,1258,11
2417,2417,302,8
2417,2417,1258,8
2417,2417,302,11
2417,2417,1258,11
2415,2415,2416,8
2415,2415,2420,8
2414,2414,2339,8
2414,2414,1468,8
2413,2413,1221,8
2413,2413,1115,8
2413,2413,1221,11
2413,2413,1115,11
2412,2412,543,8
2412,2412,364,8
2411,2411,1279,8
2411,2411,1338,8
2410,2410,364,8
2410,2410,1468,8
2409,2409,543,8
2409,2409,1727,8
2408,2408,1221,8
2408,2408,302,8
2407,2407,364,8
2407,2407,2172,8
2406,2406,618,8
2406,2406,430,8
2406,2406,430,11
2406,2406,618,11
2405,2405,1115,8
2405,2405,1744,8
2405,2405,1115,11
2405,2405,1744,11
2404,2404,1744,8
2404,2404,618,8
2404,2404,1744,11
2404,2404,618,11
2401,2401,1369,7
2401,2401,765,7
2399,2399,2400,7
2399,2399,437,7
2397,2397,2398,7
2397,2397,2402,7
2396,2396,1533,7
2396,2396,2403,7
2395,2395,437,7
2395,2395,143,7
2395,2395,143,9
2395,2395,437,9
2395,2395,143,10
2395,2395,580,10
2395,2395,143,11
2395,2395,437,11
2394,2394,729,7
2394,2394,471,7
2393,2393,765,7
2393,2393,666,7
2392,2392,471,7
2392,2392,2400,7
2390,2390,729,7
2390,2390,236,7
2389,2389,2188,7
2389,2389,2391,7
2388,2388,2188,7
2388,2388,765,7
2387,2387,1272,7
2387,2387,666,7
2386,2386,143,7
2386,2386,580,7
2386,2386,143,10
2386,2386,580,10
2386,2386,143,11
2386,2386,580,11
2385,2385,1669,6
2385,2385,598,6
2384,2384,2353,6
2384,2384,1338,6
2384,2384,1338,8
2384,2384,2353,8
2383,2383,1018,6
2383,2383,2378,6
2382,2382,1817,6
2382,2382,1358,6
2382,2382,1817,13
2382,2382,1358,13
2381,2381,373,6
2381,2381,2341,6
2380,2380,598,6
2380,2380,1338,6
2379,2379,425,6
2379,2379,2378,6
2379,2379,856,6
2376,2376,2377,6
2376,2376,1972,6
2375,2375,1519,6
2375,2375,1972,6
2374,2374,373,6
2374,2374,1519,6
2373,2373,1272,6
2373,2373,2104,6
2373,2373,2378,6
2373,2373,1338,6
2373,2373,621,6
2372,2372,1519,6
2372,2372,856,6
2371,2371,110,5
2371,2371,441,5
2371,2371,1399,5
2370,2370,2329,5
2370,2370,144,5
2369,2369,1210,5
2369,2369,465,5
2368,2368,486,5
2368,2368,189,5
2368,2368,486,12
2368,2368,189,12
2368,2368,486,13
2368,2368,144,13
2368,2368,189,13
2367,2367,2329,5
2367,2367,465,5
2367,2367,2329,13
2367,2367,465,13
2365,2365,578,5
2365,2365,752,5
2365,2365,752,14
2365,2365,578,14
2364,2364,2337,5
2364,2364,2366,5
2364,2364,752,5
2363,2363,465,5
2363,2363,110,5
2362,2362,110,5
2362,2362,1210,5
2361,2361,486,5
2361,2361,51,5
2361,2361,144,5
2361,2361,404,12
2361,2361,51,12
2361,2361,35,12
2361,2361,51,14
2361,2361,35,14
2360,2360,580,4
2360,2360,2333,4
2360,2360,580,11
2360,2360,2333,11
2359,2359,2357,4
2359,2359,441,4
2359,2359,2350,4
2359,2359,2349,4
2359,2359,2357,5
2359,2359,2366,5
2359,2359,1399,5
2359,2359,441,5
2359,2359,2350,5
2359,2359,2349,5
2359,2359,2357,12
2359,2359,441,12
2359,2359,2350,12
2359,2359,2349,12
2358,2358,2353,4
2358,2358,543,4
2358,2358,2353,6
2358,2358,543,6
2358,2358,2353,8
2358,2358,543,8
2356,2356,2339,4
2356,2356,2344,4
2355,2355,1188,4
2355,2355,400,4
2354,2354,2333,4
2354,2354,2339,4
2354,2354,2333,11
2354,2354,2339,11
2352,2352,2353,4
2352,2352,543,4
2352,2352,2353,6
2352,2352,543,6
2352,2352,543,8
2352,2352,2353,8
2351,2351,2151,4
2351,2351,1817,4
2348,2348,2349,4
2348,2348,51,4
2348,2348,2337,4
2348,2348,2349,5
2348,2348,51,5
2348,2348,2337,5
2348,2348,2349,12
2348,2348,51,12
2348,2348,2337,12
2347,2347,1817,4
2347,2347,256,4
2346,2346,543,4
2346,2346,2341,4
2345,2345,288,4
2345,2345,393,4
2345,2345,189,12
2345,2345,288,12
2345,2345,393,12
2343,2343,2344,4
2343,2343,2341,4
2342,2342,614,4
2342,2342,2151,4
2340,2340,2341,4
2340,2340,2333,4
2340,2340,2341,6
2340,2340,2333,6
2338,2338,2339,4
2338,2338,2333,4
2336,2336,2337,4
2336,2336,2357,4
2336,2336,2337,5
2336,2336,2357,5
2336,2336,2337,12
2336,2336,2357,12
2336,2336,2337,14
2336,2336,2357,14
2335,2335,978,4
2335,2335,2151,4
2334,2334,978,4
2334,2334,614,4
2332,2332,2333,4
2332,2332,543,4
2332,2332,2333,6
2332,2332,543,6
2332,2332,2333,11
2332,2332,543,11
2331,2331,683,3
2330,2330,872,2
2327,2327,2328,2
2327,2327,683,2
2327,2327,2324,2
2327,2327,578,2
2327,2327,2328,3
2327,2327,2324,3
2327,2327,578,3
2327,2327,683,3
2327,2327,578,5
2327,2327,683,5
2325,2325,683,2
2325,2325,578,2
2325,2325,2324,2
2325,2325,2328,2
2325,2325,2324,3
2325,2325,578,3
2325,2325,683,3
2325,2325,2328,3
2323,2323,1938,1
2322,2322,1845,1
2319,2319,1191,1
2318,2318,360,1
2317,2317,1533,1
2316,2316,326,1
2316,2316,326,3
2315,2315,1189,1
2313,2313,2188,1
2311,2311,69,1
2310,2310,860,1
2308,2308,442,1
2304,2304,1015,1
2303,2303,992,1
2302,2302,404,1
2302,2302,404,3
2301,2301,347,1
2301,2301,347,3
2300,2300,780,1
2299,2299,1513,1
2298,2298,811,1
2297,2297,505,1
2296,2296,880,1
2295,2295,935,1
2294,2294,505,1
2291,2291,211,1
2290,2290,195,1
2289,2289,2240,1
2288,2288,1111,1
2286,2286,165,1
2285,2285,674,1
2284,2284,100,1
2283,2283,288,1
2281,2281,475,1
2280,2280,1320,1
2278,2278,1222,1
2277,2277,368,1
2275,2275,2209,1
2274,2274,399,1
2273,2273,788,1
2271,2271,172,1
2270,2270,110,1
2270,2270,110,3
2269,2269,782,1
2268,2268,483,1
2265,2265,154,1
2261,2261,877,1
2260,2260,432,1
2257,2257,981,1
2256,2256,731,1
2255,2255,355,1
2254,2254,263,1
2253,2253,606,1
2252,2252,801,1
2251,2251,718,1
2250,2250,496,1
2249,2249,2245,1
2248,2248,81,1
2248,2248,1472,1
2248,2248,1472,11
2248,2248,81,11
2247,2247,547,1
2244,2244,1262,1
2243,2243,83,1
2241,2241,372,1
2239,2239,1188,1
2239,2239,1188,3
2238,2238,806,1
2237,2237,438,1
2236,2236,90,1
2236,2236,90,3
2235,2235,1001,1
2234,2234,679,1
2233,2233,612,1
2232,2232,2209,1
2231,2231,1954,1
2230,2230,1396,1
2229,2229,222,1
2227,2227,1229,1
2226,2226,1071,1
2224,2224,1229,1
2223,2223,743,1
2222,2222,46,1
2221,2221,203,1
2220,2220,594,1
2219,2219,2057,1
2218,2218,430,1
2216,2216,1124,1
2215,2215,955,1
2214,2214,1119,1
2212,2212,1626,1
2211,2211,1139,1
2210,2210,66,1
2208,2208,265,1
2208,2208,265,3
2206,2206,1585,1
2205,2205,112,1
2203,2203,2204,1
2201,2201,183,1
2200,2200,425,1
2199,2199,1540,1
